z,y,x
7.556267,4.808533,17.860268
8.2432,6.1824,20.608
8.586667,7.2128,24.386133
7.556267,6.8693333,20.951468
6.1824,5.152,16.142933
5.152,6.5258665,15.112534
16.4864,9.617066,20.264534
16.142933,8.2432,18.890667
16.4864,8.586667,21.638401
10.990933,9.617066,16.4864
10.304,8.930134,15.799467
16.829866,13.051733,18.203733
12.021334,12.708267,17.5168
18.890667,9.617066,18.203733
16.829866,9.2736,16.829866
16.142933,10.647467,20.264534
9.2736,9.960533,18.5472
9.960533,10.304,16.829866
14.4256,13.3952,18.890667
11.3344,12.708267,17.860268
9.617066,6.1824,20.264534
9.960533,8.586667,20.951468
10.647467,9.2736,23.6992
7.8997335,7.8997335,21.294933
7.2128,8.930134,19.5776
9.617066,6.1824,20.264534
9.960533,6.5258665,21.294933
10.647467,7.8997335,24.042667
7.8997335,7.556267,20.264534
8.930134,8.2432,19.234133
9.2736,10.304,20.264534
12.021334,12.3648,17.5168
12.021334,11.677867,15.456
12.3648,8.2432,20.608
11.677867,6.8693333,19.234133
10.304,7.8997335,23.355734
7.556267,8.930134,18.5472
7.8997335,8.586667,18.203733
10.990933,13.3952,15.799467
8.930134,12.3648,17.5168
9.617066,12.708267,14.769067
12.021334,8.2432,20.264534
10.647467,7.2128,18.890667
8.930134,7.556267,23.355734
6.5258665,8.930134,17.5168
5.8389335,8.586667,14.769067
12.021334,12.708267,17.173334
9.2736,12.021334,17.173334
9.617066,11.677867,16.829866
14.082133,5.8389335,16.142933
13.3952,6.5258665,16.142933
12.021334,7.556267,20.608
9.960533,7.556267,18.890667
8.2432,9.617066,18.5472
11.677867,9.617066,17.5168
15.799467,11.3344,16.829866
13.738667,12.021334,14.769067
13.738667,5.8389335,14.082133
13.3952,8.586667,15.456
11.677867,8.930134,18.5472
9.2736,7.556267,18.5472
8.586667,8.586667,20.264534
8.2432,7.8997335,20.951468
16.142933,9.960533,17.5168
14.4256,10.304,15.112534
14.082133,8.586667,21.638401
16.829866,9.960533,18.203733
12.3648,9.2736,23.355734
10.647467,10.304,17.5168
8.930134,10.304,18.890667
12.3648,15.799467,20.264534
10.990933,14.082133,17.860268
9.2736,9.960533,7.556267
14.082133,8.930134,21.981867
13.051733,10.304,20.608
15.112534,12.021334,21.294933
10.304,10.647467,16.4864
8.2432,10.647467,16.142933
11.3344,14.769067,10.647467
13.051733,13.051733,18.890667
9.617066,11.3344,8.2432
10.647467,5.8389335,20.608
9.2736,6.8693333,23.012266
8.586667,8.930134,24.386133
7.556267,8.586667,20.951468
7.8997335,9.617066,20.951468
12.708267,13.3952,19.921066
13.3952,12.021334,19.5776
12.021334,10.647467,10.990933
10.990933,5.4954667,20.951468
10.304,8.2432,22.325333
9.2736,8.2432,25.073067
7.8997335,8.586667,20.951468
8.586667,10.304,21.638401
12.708267,14.4256,20.951468
13.051733,14.082133,18.5472
11.677867,11.677867,11.677867
15.112534,9.2736,19.234133
15.456,8.586667,18.890667
14.4256,8.586667,23.6992
